1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50
0,268958326;0,397655266;0,780982212;0,175001755;0,569406946;0,63945256;0,066887533;0,634918282;0,252307562;0,74037052;0,602908903;0,347864893;0,664090716;0,017744471;0,208960374;0,545041488;0,808969915;0,967076071;0,653847201;0,342580497;0,346056616;0,857270036;0,876332887;0,870042056;0,353437338;0,443935778;0,664576871;0,407522851;0,887680648;0,254550044;0,160153485;0,436182248;0,474766921;0,523959678;0,290195028;0,369189357;0,036751225;0,323426338;0,329573797;0,122517517;0,44161908;0,08920204;0,34294362;0,515367768;0,24649453;0,527667824;0,083183955;0,29714484;0,594098094;0,135928778
0,130753947;0,055692123;0,773192715;0,939565932;0,169804902;0,90741613;0,27247958;0,805792124;0,69335588;0,97701229;0,647013954;0,310339266;0,956460445;0,425908876;0,848578809;0,984650398;0,870908623;0,323506019;0,046083113;0,902827743;0,907798261;0,631760333;0,609460114;0,953949567;0,10337168;0,860208867;0,018947862;0,015877764;0,87748724;0,522548984;0,417999951;0,75388093;0,236919185;0,742580809;0,974473096;0,04921261;0,780544127;0,474691087;0,467269233;0,391710471;0,428090466;0,851691965;0,37910008;0,959843405;0,695318108;0,084130474;0,378784926;0,976453577;0,772719375;0,01114817
0,861272264;0,289317898;0,03068812;0,355592204;0,233962616;0,859038505;0,085688518;0,701187755;0,152109093;0,484671394;0,774226896;0,920834373;0,612066201;0,307316747;0,391285779;0,49748505;0,404493851;0,440952523;0,484034771;0,804406386;0,322591878;0,25039507;0,562711797;0,658554854;0,410525653;0,882961197;0,765496287;0,192580835;0,247991528;0,997650424;0,07242061;0,353201141;0,329464228;0,997984492;0,64776237;0,371351351;0,036175805;0,651819816;0,496393605;0,19003897;0,502634687;0,663909831;0,951703231;0,335085488;0,88562441;0,333832397;0,937463892;0,54797209;0,511037784;0,855291166
0,212596628;0,105470481;0,230186977;0,144504611;0,417233185;0,350918604;0,778483906;0,259112693;0,336852447;0,193794553;0,737865296;0,192484093;0,668431845;0,314682069;0,645899854;0,474467266;0,631090514;0,260396844;0,807370833;0,781599259;0,092885667;0,265127577;0,489568793;0,042468366;0,987881884;0,002932962;0,884573354;0,092192809;0,374099809;0,814495648;0,70485857;0,43483847;0,553957276;0,66126838;0,905447906;0,547976923;0,720515675;0,401072443;0,668491035;0,059185879;0,588212523;0,967439954;0,850537539;0,4779131;0,984115705;0,018304335;0,899777578;0,218138131;0,494447013;0,483367312
0,574319529;0,756173619;0,626425851;0,581147141;0,829943002;0,696004119;0,446760505;0,048211082;0,878468765;0,947043401;0,201731397;0,393692129;0,480725221;0,491352309;0,727996795;0,41320889;0,159220888;0,620625219;0,94095226;0,727324344;0,571900063;0,949152445;0,042363477;0,9002063;0,182795047;0,039823403;0,090029529;0,292095725;0,512567186;0,09365004;0,997569452;0,580180811;0,213317563;0,666743003;0,523198624;0,857506876;0,58807588;0,17717129;0,192028677;0,715672389;0,847614557;0,819717139;0,3100577;0,013999151;0,748676178;0,231096525;0,926369788;0,634295696;0,477601633;0,541692057
0,582413628;0,563194655;0,968289114;0,673983233;0,901567065;0,536595422;0,00695757;0,938966243;0,805823506;0,918164271;0,356078555;0,941775445;0,30864904;0,061009248;0,135343842;0,668873855;0,070005705;0,896253335;0,546096928;0,89768793;0,160472481;0,681192095;0,444503934;0,889902068;0,685349953;0,814756369;0,839250586;0,774279709;0,174465293;0,077903351;0,78079893;0,704978351;0,282393649;0,560644306;0,835768597;0,760047408;0,169512574;0,833128878;0,224715709;0,881022543;0,987265792;0,932275638;0,180417115;0,39458969;0,319189702;0,377316136;0,480181963;0,008465348;0,355049382;0,391811799
0,25058033;0,123482723;0,658465098;0,92491991;0,727529297;0,014093507;0,936833615;0,840922259;0,743986496;0,804548308;0,031980691;0,734131531;0,990261754;0,122054589;0,054945583;0,425678791;0,083185164;0,071720706;0,255180608;0,791813592;0,311605718;0,491778222;0,936262053;0,347756851;0,826709816;0,370444207;0,332160738;0,425967909;0,031406822;0,95339358;0,654067893;0,427262552;0,895804135;0,970053283;0,721965424;0,254387581;0,130010539;0,633522429;0,924751112;0,0135012;0,341001186;0,272719693;0,280606898;0,801505898;0,141506665;0,899561772;0,74689339;0,511759667;0,824395566;0,173034819
0,660216165;0,630564735;0,107216568;0,067711253;0,233001967;0,447260829;0,735561593;0,607913618;0,03813158;0,726764224;0,00901556;0,085838897;0,795742091;0,731395557;0,221479649;0,37430961;0,35855786;0,675736864;0,581752428;0,554445564;0,258351414;0,422596701;0,614244964;0,87160271;0,817988534;0,235660966;0,912816131;0,529890066;0,591738428;0,926431964;0,634131575;0,212333634;0,558298732;0,730555175;0,911688132;0,139483783;0,572898264;0,33577276;0,013156784;0,135116861;0,482197846;0,367321808;0,832807405;0,835481101;0,062595121;0,170779444;0,193985784;0,263735487;0,736129302;0,01606108
0,350304207;0,131754987;0,062796859;0,829441678;0,113904128;0,822318456;0,302079961;0,516735208;0,98035096;0,630376093;0,38936339;0,83922416;0,48582049;0,873710535;0,732614966;0,071767126;0,30431206;0,577008519;0,062529609;0,882165118;0,899203503;0,016975519;0,812995292;0,835264864;0,510716495;0,89625486;0,26483782;0,584034216;0,548217223;0,273388936;0,228999388;0,273430571;0,54733251;0,868267708;0,195358769;0,140511776;0,684185443;0,825194762;0,518354187;0,796300694;0,934207801;0,458385652;0,652739372;0,80396893;0,044745325;0,066107527;0,329730517;0,571053258;0,191082682;0,280147114
0,959953566;0,353226267;0,676979718;0,050810153;0,35601211;0,087598909;0,958963064;0,855020686;0,984930316;0,398539181;0,714472692;0,822287565;0,825832911;0,333939192;0,829838831;0,030159105;0,692082585;0,079048335;0,107672626;0,728583099;0,712012587;0,330930137;0,903605455;0,203878169;0,119454084;0,869207976;0,911195886;0,909636843;0,199000276;0,88037456;0,634508884;0,767015331;0,86203682;0,921463775;0,990980748;0,062597563;0,269119706;0,016627401;0,619100258;0,363620488;0,157160477;0,400566154;0,721954648;0,138626018;0,409910056;0,632137514;0,341547223;0,954277453;0,821486269;0,223665683
